,agent.age,agent.agent_name,agent.experience,agent.gender,answer.friendly,scenario.condition,scenario.message
23,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
24,20,Agent_0,just learned how to use Whatsapp,man,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
25,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
26,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
27,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
28,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, don't forget to take out the trash."
29,20,Agent_0,just learned how to use Whatsapp,man,3,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
30,20,Agent_0,just learned how to use Whatsapp,man,2,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
31,20,Agent_0,just learned how to use Whatsapp,man,2,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
32,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
33,20,Agent_0,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
34,20,Agent_0,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, remember to water the plants."
35,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, remember to water the plants."
36,20,Agent_0,just learned how to use Whatsapp,man,1,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
37,20,Agent_0,just learned how to use Whatsapp,man,3,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
38,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
39,20,Agent_0,just learned how to use Whatsapp,man,4,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
40,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
41,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
42,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, don't forget to wash the dishes."
43,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, don't forget to wash the dishes."
44,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
45,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
46,20,Agent_0,just learned how to use Whatsapp,man,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
47,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
48,20,Agent_0,just learned how to use Whatsapp,man,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
49,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
50,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
51,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
52,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
53,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
54,20,Agent_7,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
55,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
56,20,Agent_7,just learned how to use Whatsapp,woman,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
57,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
58,20,Agent_7,just learned how to use Whatsapp,woman,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
59,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
60,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
61,20,Agent_7,just learned how to use Whatsapp,woman,1,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
62,20,Agent_7,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
63,20,Agent_7,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
64,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
65,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
66,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed without emojis,"Kim, don't forget to take out the trash."
67,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
68,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed without emojis,"Kim, don't forget to take out the trash."
69,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
70,20,Agent_7,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
71,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
72,20,Agent_7,just learned how to use Whatsapp,woman,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
73,20,Agent_7,just learned how to use Whatsapp,woman,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
74,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed without emojis,"Kim, remember to water the plants."
75,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed without emojis,"Kim, remember to water the plants."
76,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
77,20,Agent_7,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
78,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
79,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
80,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
81,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
82,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed without emojis,"Kim, don't forget to wash the dishes."
83,20,Agent_7,just learned how to use Whatsapp,woman,1,annoyed without emojis,"Kim, don't forget to wash the dishes."
84,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
85,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
86,20,Agent_7,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
87,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
88,20,Agent_7,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
89,20,Agent_7,just learned how to use Whatsapp,woman,4,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
90,20,Agent_7,just learned how to use Whatsapp,woman,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
91,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed without emojis,"Kim, don't forget to vacuum the living room."
92,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
93,20,Agent_7,just learned how to use Whatsapp,woman,3,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
94,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
95,20,Agent_1,loves texting and knows all the emojis.,man,5,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
96,20,Agent_1,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
97,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
98,20,Agent_1,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
99,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
100,20,Agent_1,loves texting and knows all the emojis.,man,1,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
101,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
102,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
103,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
104,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
105,20,Agent_1,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
106,20,Agent_1,loves texting and knows all the emojis.,man,3,annoyed without emojis,"Kim, don't forget to take out the trash."
107,20,Agent_1,loves texting and knows all the emojis.,man,4,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
108,20,Agent_1,loves texting and knows all the emojis.,man,3,annoyed without emojis,"Kim, don't forget to take out the trash."
109,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
110,20,Agent_1,loves texting and knows all the emojis.,man,3,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
111,20,Agent_1,loves texting and knows all the emojis.,man,3,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
112,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
113,20,Agent_1,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
114,20,Agent_1,loves texting and knows all the emojis.,man,3,annoyed without emojis,"Kim, remember to water the plants."
115,20,Agent_1,loves texting and knows all the emojis.,man,3,annoyed without emojis,"Kim, remember to water the plants."
116,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
117,20,Agent_1,loves texting and knows all the emojis.,man,3,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
118,20,Agent_1,loves texting and knows all the emojis.,man,4,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
119,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
120,20,Agent_1,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
121,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
122,20,Agent_1,loves texting and knows all the emojis.,man,3,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
123,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed without emojis,"Kim, don't forget to wash the dishes."
124,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
125,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
126,20,Agent_1,loves texting and knows all the emojis.,man,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
127,20,Agent_1,loves texting and knows all the emojis.,man,4,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
128,20,Agent_1,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
129,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
130,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
131,20,Agent_1,loves texting and knows all the emojis.,man,4,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
132,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
133,20,Agent_1,loves texting and knows all the emojis.,man,2,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
134,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
135,20,Agent_8,loves texting and knows all the emojis.,woman,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
136,20,Agent_8,loves texting and knows all the emojis.,woman,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
137,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
138,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
139,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
140,20,Agent_8,loves texting and knows all the emojis.,woman,1,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
141,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
142,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
143,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
144,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
145,20,Agent_8,loves texting and knows all the emojis.,woman,3,annoyed without emojis,"Kim, don't forget to take out the trash."
146,20,Agent_8,loves texting and knows all the emojis.,woman,3,annoyed without emojis,"Kim, don't forget to take out the trash."
147,20,Agent_8,loves texting and knows all the emojis.,woman,3,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
148,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
149,20,Agent_8,loves texting and knows all the emojis.,woman,3,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
150,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
151,20,Agent_8,loves texting and knows all the emojis.,woman,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
152,20,Agent_8,loves texting and knows all the emojis.,woman,3,annoyed without emojis,"Kim, remember to water the plants."
153,20,Agent_8,loves texting and knows all the emojis.,woman,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
154,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed without emojis,"Kim, remember to water the plants."
155,20,Agent_8,loves texting and knows all the emojis.,woman,3,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
156,20,Agent_8,loves texting and knows all the emojis.,woman,3,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
157,20,Agent_8,loves texting and knows all the emojis.,woman,4,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
158,20,Agent_8,loves texting and knows all the emojis.,woman,3,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
159,20,Agent_8,loves texting and knows all the emojis.,woman,5,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
160,20,Agent_8,loves texting and knows all the emojis.,woman,3,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
161,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed without emojis,"Kim, don't forget to wash the dishes."
162,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
163,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed without emojis,"Kim, don't forget to wash the dishes."
164,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
165,20,Agent_8,loves texting and knows all the emojis.,woman,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
166,20,Agent_8,loves texting and knows all the emojis.,woman,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
167,20,Agent_8,loves texting and knows all the emojis.,woman,5,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
168,20,Agent_8,loves texting and knows all the emojis.,woman,5,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
169,20,Agent_8,loves texting and knows all the emojis.,woman,3,annoyed without emojis,"Kim, don't forget to vacuum the living room."
170,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
171,20,Agent_8,loves texting and knows all the emojis.,woman,2,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
172,40,Agent_2,just learned how to use Whatsapp,man,4,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
173,20,Agent_8,loves texting and knows all the emojis.,woman,1,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
174,40,Agent_2,just learned how to use Whatsapp,man,3,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
175,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
176,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
177,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
178,40,Agent_2,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
179,40,Agent_2,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
180,40,Agent_2,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
181,40,Agent_2,just learned how to use Whatsapp,man,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
182,40,Agent_2,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
183,40,Agent_2,just learned how to use Whatsapp,man,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
184,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hi Kim, can you please take out the trash? 🗑️😊 Much appreciated!"
185,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, don't forget to take out the trash."
186,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, don't forget to take out the trash."
187,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
188,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed with matching emojis,"Kim, don't forget to take out the trash. 😤🗑️"
189,40,Agent_2,just learned how to use Whatsapp,man,3,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
190,40,Agent_2,just learned how to use Whatsapp,man,3,friendly without emojis,"Hey Kim, could you water the plants today? Thanks!"
191,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
192,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, remember to water the plants."
193,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you water the plants today? 🌿😊 You're awesome!"
194,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
195,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed with matching emojis,"Kim, remember to water the plants. 😒🌿"
196,40,Agent_2,just learned how to use Whatsapp,man,3,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
197,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
198,40,Agent_2,just learned how to use Whatsapp,man,4,friendly without emojis,"Hi Kim, can you wash the dishes, please? Thanks a ton!"
199,40,Agent_2,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hi Kim, can you wash the dishes, please? 🍽️😊 Really appreciate it!"
200,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, don't forget to wash the dishes."
201,40,Agent_2,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, don't forget to wash the dishes."
202,40,Agent_2,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
203,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
204,40,Agent_2,just learned how to use Whatsapp,man,4,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
205,40,Agent_2,just learned how to use Whatsapp,man,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
206,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
207,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, don't forget to vacuum the living room."
208,40,Agent_2,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
209,40,Agent_2,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
210,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
211,40,Agent_2,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
212,40,Agent_9,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
213,40,Agent_9,just learned how to use Whatsapp,woman,3,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
214,40,Agent_9,just learned how to use Whatsapp,woman,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
215,40,Agent_9,just learned how to use Whatsapp,woman,4,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
216,40,Agent_9,just learned how to use Whatsapp,woman,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
